PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
TS,1984,66,26.875,-13.98,-8.94,-9.71,-1.29,9.82,12.08,13.83,11.14,5.63,0.13,-7.57,-10.53,0.05
TS,1984,66,27.5,-14.12,-9.3,-9.76,-1.39,9.86,12.16,13.83,11.14,5.5,-0.26,-8.08,-10.96,-0.12
TS,1984,66,28.125,-14.34,-9.69,-9.79,-1.45,10.03,12.36,13.93,11.25,5.46,-0.64,-8.54,-11.35,-0.23
TS,1984,66,28.75,-14.4,-9.91,-9.8,-1.45,10.14,12.39,13.92,11.19,5.4,-1,-8.66,-11.56,-0.31
TS,1984,66,29.375,-14.36,-9.94,-9.69,-1.49,10.13,12.37,13.91,11.08,5.37,-1.26,-8.74,-11.61,-0.35
TS,1984,66.5,21.875,-14.79,-7.77,-9.37,-1.88,9.22,11.77,12.93,10.78,5.32,-0.29,-10.55,-9.11,-0.31
TS,1984,66.5,22.5,-14.81,-7.79,-9.51,-1.7,9.46,12.12,13.27,11.1,5.46,-0.02,-10.45,-8.77,-0.14
TS,1984,66.5,23.125,-14.87,-7.94,-9.67,-1.61,9.55,12.4,13.55,11.36,5.52,0.17,-10.36,-8.56,-0.04
TS,1984,66.5,23.75,-14.81,-8.1,-9.69,-1.59,9.49,12.43,13.66,11.4,5.54,0.24,-9.96,-8.5,0.01
TS,1984,66.5,24.375,-14.8,-8.26,-9.65,-1.65,9.41,12.37,13.7,11.28,5.57,0.18,-9.69,-8.73,-0.02
TS,1984,66.5,25,-14.74,-8.39,-9.6,-1.69,9.23,12.29,13.73,11.21,5.62,0.08,-9.37,-8.98,-0.05
TS,1984,66.5,25.625,-14.66,-8.6,-9.63,-1.77,9.23,12.11,13.62,11.04,5.54,-0.12,-9.11,-9.66,-0.17
TS,1984,66.5,26.25,-14.56,-8.79,-9.65,-1.92,9.42,12.01,13.54,10.91,5.48,-0.3,-9.07,-10.32,-0.27
TS,1984,66.5,26.875,-14.51,-9,-9.75,-1.96,9.38,11.96,13.49,10.84,5.35,-0.63,-9.21,-10.71,-0.4
