PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
TS,1984,63.5,10,-6.46,-2.65,-2.14,3.16,9.76,10.5,11.87,11.91,7.84,5.6,0.61,-1.14,4.07
TS,1984,63.5,10.625,-6.93,-3.11,-3.04,2.59,9.9,10.46,11.71,11.87,7.53,5.31,0.34,-1.72,3.74
TS,1984,63.5,11.25,-8,-4.05,-4.51,1.89,9.8,10.31,11.46,11.7,7.04,4.69,-0.47,-2.82,3.09
TS,1984,63.5,11.875,-10.06,-5.74,-6.3,0.23,7.82,9.51,10.64,10.94,5.9,3.14,-2.7,-5.18,1.52
TS,1984,63.5,12.5,-11.83,-7.09,-7.69,-1.04,6.72,9.1,10.2,10.5,5.07,1.99,-4.77,-7.23,0.33
TS,1984,63.5,5,7.26,7.06,6.7,7,7.52,9.85,11.77,12.21,11.39,9.83,8.9,8.4,8.99
TS,1984,63.5,5.625,7.24,6.9,6.55,6.67,7.48,9.8,11.89,12.36,11.41,9.86,8.97,8.38,8.96
TS,1984,63.5,6.25,7.17,6.66,6.31,6.29,7.36,9.8,12.02,12.53,11.42,9.83,8.99,8.35,8.89
TS,1984,63.5,6.875,6.65,6.04,5.76,5.96,7.41,9.81,12.22,12.6,11.35,9.81,8.75,7.99,8.7
TS,1984,63.5,7.5,6.37,5.52,5.24,5.61,7.44,9.82,12.41,12.64,11.34,9.92,8.71,7.79,8.57
TS,1984,63.5,8.125,2.29,3.18,3.42,5.12,8.24,10.26,12.39,12.45,10.4,8.73,6.21,5.17,7.32
TS,1984,63.5,8.75,-1,1.32,1.93,4.67,8.88,10.68,12.36,12.27,9.62,7.81,4.27,3.11,6.33
TS,1984,63.5,9.375,-3.57,-0.61,-0.26,3.8,9.2,10.49,12.01,12.02,8.68,6.67,2.47,1,5.16
TS,1984,64,10,-1.16,0.85,0.98,4.22,9.05,10.43,11.85,12.05,9.02,7.1,3.66,2.49,5.88
TS,1984,64,10.625,-5.09,-2.02,-1.8,3.4,9.73,10.38,11.63,11.76,7.92,5.71,1,-0.49,4.34
TS,1984,64,11.25,-6.54,-3.07,-3.11,3.34,10.31,10.76,11.89,12,7.78,5.36,0.15,-1.69,3.93
TS,1984,64,11.875,-8.69,-4.57,-4.92,2.02,9.89,10.72,11.72,11.81,7.13,4.37,-1.63,-3.72,2.84
TS,1984,64,12.5,-10.9,-6.26,-6.9,-0.19,7.42,9.9,10.87,10.97,5.89,2.66,-4.28,-6.2,1.08
